Date,Open,High,Low,Close,Adj Close,Volume
2009-12-04,11864.400391,12055.299805,11831.599609,12032.200195,12032.188477,188000
2009-12-07,11975.799805,12065.000000,11930.500000,12011.799805,12011.788086,120800
2009-12-08,11957.299805,12035.000000,11758.400391,11808.900391,11808.888672,153000
2009-12-09,11771.700195,11833.700195,11497.400391,11541.200195,11541.188477,291200
2009-12-10,11535.099609,11610.400391,11468.700195,11594.700195,11594.688477,226200
2009-12-11,11610.500000,11676.700195,11598.299805,11616.000000,11615.988281,210800
2009-12-14,11705.400391,11748.900391,11645.500000,11705.900391,11705.888672,151200
2009-12-15,11696.700195,11757.500000,11592.400391,11735.500000,11735.488281,185800
2009-12-16,11747.099609,11875.200195,11739.700195,11863.200195,11863.188477,207600
2009-12-17,11764.400391,11820.500000,11648.599609,11696.900391,11696.888672,190800
2009-12-18,11709.599609,11814.099609,11622.599609,11645.000000,11644.988281,255600
2009-12-21,11696.900391,11843.000000,11656.799805,11830.799805,11830.788086,160000
2009-12-22,11810.200195,11943.400391,11810.000000,11890.799805,11890.788086,148400
2009-12-23,11957.099609,11990.400391,11916.400391,11967.500000,11967.488281,124600
2009-12-28,12014.000000,12070.900391,11995.700195,12023.200195,12023.188477,92200
2009-12-29,12034.700195,12056.500000,11985.200195,12035.099609,12035.087891,99400
2009-12-30,12018.400391,12020.099609,11923.000000,11940.000000,11939.988281,103400
2010-01-04,11986.500000,12145.099609,11986.099609,12145.099609,12145.086914,184200
2010-01-05,12141.799805,12240.500000,12139.799805,12204.400391,12204.387695,238400
2010-01-06,12216.400391,12230.700195,12147.599609,12222.500000,12222.487305,123800
2010-01-07,12163.000000,12199.700195,12079.099609,12166.299805,12166.287109,192400
2010-01-08,12218.000000,12232.200195,12079.900391,12163.000000,12162.987305,213200
2010-01-11,12192.500000,12233.900391,12066.099609,12074.500000,12074.487305,230800
2010-01-12,12094.400391,12134.200195,11941.099609,11966.099609,11966.087891,186800
2010-01-13,11923.000000,12027.200195,11909.599609,11958.299805,11958.288086,181800
